pairname,ligand,receptor,Pair.Source,Pair.Evidence
A2M_LRP1,A2M,LRP1,known,literature supported
AANAT_MTNR1A,AANAT,MTNR1A,known,literature supported
AANAT_MTNR1B,AANAT,MTNR1B,known,literature supported
ACE_AGTR2,ACE,AGTR2,novel,literature supported
ACE_BDKRB2,ACE,BDKRB2,novel,literature supported
ADAM10_AXL,ADAM10,AXL,novel,literature supported
ADAM10_EPHA3,ADAM10,EPHA3,novel,literature supported
ADAM12_ITGA9,ADAM12,ITGA9,known,literature supported
ADAM12_ITGB1,ADAM12,ITGB1,known,literature supported
ADAM12_SDC4,ADAM12,SDC4,known,literature supported
ADAM15_ITGA5,ADAM15,ITGA5,known,literature supported
ADAM15_ITGA9,ADAM15,ITGA9,known,literature supported
ADAM15_ITGAV,ADAM15,ITGAV,novel,literature supported
ADAM15_ITGB1,ADAM15,ITGB1,known,literature supported
ADAM15_ITGB3,ADAM15,ITGB3,known,literature supported
ADAM17_ERBB4,ADAM17,ERBB4,novel,literature supported
ADAM17_ITGA5,ADAM17,ITGA5,known,literature supported
ADAM17_ITGB1,ADAM17,ITGB1,known,literature supported
ADAM17_NOTCH1,ADAM17,NOTCH1,novel,literature supported
ADAM23_ITGA5,ADAM23,ITGA5,known,literature supported
ADAM23_ITGB3,ADAM23,ITGB3,known,literature supported
ADAM28_ITGA4,ADAM28,ITGA4,novel,literature supported
ADAM2_CD9,ADAM2,CD9,novel,literature supported
ADAM2_ITGA6,ADAM2,ITGA6,known,literature supported
ADAM2_ITGA9,ADAM2,ITGA9,novel,literature supported
ADAM2_ITGB1,ADAM2,ITGB1,known,literature supported
ADAM2_ITGB7,ADAM2,ITGB7,novel,literature supported
ADAM9_ITGA3,ADAM9,ITGA3,novel,literature supported
ADAM9_ITGA6,ADAM9,ITGA6,known,literature supported
ADAM9_ITGAV,ADAM9,ITGAV,known,literature supported
ADAM9_ITGB1,ADAM9,ITGB1,known,literature supported
ADAM9_ITGB5,ADAM9,ITGB5,known,literature supported
ADCYAP1_ADCYAP1R1,ADCYAP1,ADCYAP1R1,known,literature supported
ADCYAP1_SCTR,ADCYAP1,SCTR,novel,literature supported
ADCYAP1_VIPR1,ADCYAP1,VIPR1,known,literature supported
ADCYAP1_VIPR2,ADCYAP1,VIPR2,known,literature supported
ADIPOQ_ADIPOR1,ADIPOQ,ADIPOR1,known,literature supported
ADIPOQ_ADIPOR2,ADIPOQ,ADIPOR2,known,literature supported
ADM2_CALCR,ADM2,CALCR,known,literature supported
ADM2_CALCRL,ADM2,CALCRL,known,literature supported
ADM2_RAMP1,ADM2,RAMP1,known,literature supported
ADM_CALCR,ADM,CALCR,known,literature supported
ADM_CALCRL,ADM,CALCRL,known,literature supported
ADM_GPR182,ADM,GPR182,known,literature supported
