pairname,ligand,receptor,Pair.Source,Pair.Evidence
Calm1_Sctr,Calm1,Sctr,novel,EXCLUDED not ligand
Calm3_Sctr,Calm3,Sctr,novel,EXCLUDED not ligand
Sct_Sctr,Sct,Sctr,known,literature supported
Adcyap1_Sctr,Adcyap1,Sctr,novel,literature supported
Vip_Sctr,Vip,Sctr,known,literature supported
Ntf5_Ntrk3,Ntf5,Ntrk3,known,putative
Ntf3_Ntrk3,Ntf3,Ntrk3,known,literature supported
Tnfsf10_Tnfrsf10b,Tnfsf10,Tnfrsf10b,known,literature supported
Shh_Smo,Shh,Smo,known,literature supported
Tgfb2_Tgfbr3,Tgfb2,Tgfbr3,known,literature supported
Tgfb3_Tgfbr3,Tgfb3,Tgfbr3,known,literature supported
Tgfb1_Tgfbr3,Tgfb1,Tgfbr3,known,literature supported
Inhba_Tgfbr3,Inhba,Tgfbr3,novel,literature supported
Inha_Tgfbr3,Inha,Tgfbr3,known,literature supported
Cxcl11_Ackr3,Cxcl11,Ackr3,known,literature supported
Cxcl12_Ackr3,Cxcl12,Ackr3,known,literature supported
Amh_Amhr2,Amh,Amhr2,known,literature supported
Il16_Kcnd2,Il16,Kcnd2,novel,literature supported
Cd40lg_Traf3,Cd40lg,Traf3,novel,putative
Oxt_Avpr1a,Oxt,Avpr1a,known,literature supported
Avp_Avpr1a,Avp,Avpr1a,known,literature supported
Efnb2_Ephb2,Efnb2,Ephb2,known,literature supported
Mmp9_Ephb2,Mmp9,Ephb2,novel,literature supported
L1cam_Ephb2,L1cam,Ephb2,novel,putative
Efnb3_Ephb2,Efnb3,Ephb2,known,literature supported
Vegfa_Ephb2,Vegfa,Ephb2,novel,literature supported
Efnb1_Ephb2,Efnb1,Ephb2,known,literature supported
Efna5_Ephb2,Efna5,Ephb2,known,literature supported
Scgb3a2_Marco,Scgb3a2,Marco,novel,literature supported
Scgb3a1_Marco,Scgb3a1,Marco,novel,literature supported
Calm1_Mylk,Calm1,Mylk,known,EXCLUDED not ligand
Calm3_Mylk,Calm3,Mylk,known,EXCLUDED not ligand
Calm2_Mylk,Calm2,Mylk,known,EXCLUDED not ligand
Fgf13_Scn8a,Fgf13,Scn8a,novel,literature supported
Tph1_Htr5a,Tph1,Htr5a,known,EXCLUDED not ligand
Ifna15_Ifnar1,Ifna15,Ifnar1,known,literature supported
Ifnab_Ifnar1,Ifnab,Ifnar1,known,literature supported
Ifna16_Ifnar1,Ifna16,Ifnar1,known,literature supported
Ifna5_Ifnar1,Ifna5,Ifnar1,known,literature supported
Ifna11_Ifnar1,Ifna11,Ifnar1,known,literature supported
Ifna6_Ifnar1,Ifna6,Ifnar1,known,literature supported
Ifna9_Ifnar1,Ifna9,Ifnar1,known,literature supported
Ifna1_Ifnar1,Ifna1,Ifnar1,known,literature supported
Ifna13_Ifnar1,Ifna13,Ifnar1,known,literature supported
Ifna4_Ifnar1,Ifna4,Ifnar1,known,literature supported
Ifna2_Ifnar1,Ifna2,Ifnar1,known,literature supported
Ifna7_Ifnar1,Ifna7,Ifnar1,known,literature supported
Ifna14_Ifnar1,Ifna14,Ifnar1,known,literature supported
Ifna12_Ifnar1,Ifna12,Ifnar1,known,literature supported
Ifnb1_Ifnar1,Ifnb1,Ifnar1,known,literature supported
Calm1_Trpc3,Calm1,Trpc3,novel,EXCLUDED not ligand
Calm3_Trpc3,Calm3,Trpc3,novel,EXCLUDED not ligand
Il17b_Il17rb,Il17b,Il17rb,known,literature supported
Il25_Il17rb,Il25,Il17rb,known,literature supported
Npy_Npy2r,Npy,Npy2r,known,literature supported
Ppy_Npy2r,Ppy,Npy2r,novel,putative
Pyy_Npy2r,Pyy,Npy2r,known,literature supported
Gnai2_Cav1,Gnai2,Cav1,novel,literature supported
Cyr61_Cav1,Cyr61,Cav1,novel,putative
