"Pair.Name","Ligand.ApprovedSymbol","Receptor.ApprovedSymbol","Mouse_LigandSym","Mouse_RecSym","Mouse.Pairs"
"A2m_Lrp1","A2m","Lrp1","A2m","Lrp1","A2m_Lrp1"
"Aanat_Mtnr1a","Aanat","Mtnr1a","Aanat","Mtnr1a","Aanat_Mtnr1a"
"Aanat_Mtnr1b","Aanat","Mtnr1b","Aanat","Mtnr1b","Aanat_Mtnr1b"
"Ace_Agtr2","Ace","Agtr2","Ace","Agtr2","Ace_Agtr2"
"Ace_Bdkrb2","Ace","Bdkrb2","Ace","Bdkrb2","Ace_Bdkrb2"
"Adam10_Axl","Adam10","Axl","Adam10","Axl","Adam10_Axl"
"Adam10_Epha3","Adam10","Epha3","Adam10","Epha3","Adam10_Epha3"
"Adam12_Itga9","Adam12","Itga9","Adam12","Itga9","Adam12_Itga9"
"Adam12_Itgb1","Adam12","Itgb1","Adam12","Itgb1","Adam12_Itgb1"
"Adam12_Sdc4","Adam12","Sdc4","Adam12","Sdc4","Adam12_Sdc4"
"Adam15_Itga5","Adam15","Itga5","Adam15","Itga5","Adam15_Itga5"
"Adam15_Itga9","Adam15","Itga9","Adam15","Itga9","Adam15_Itga9"
"Adam15_Itgav","Adam15","Itgav","Adam15","Itgav","Adam15_Itgav"
"Adam15_Itgb1","Adam15","Itgb1","Adam15","Itgb1","Adam15_Itgb1"
"Adam15_Itgb3","Adam15","Itgb3","Adam15","Itgb3","Adam15_Itgb3"
"Adam17_Erbb4","Adam17","Erbb4","Adam17","Erbb4","Adam17_Erbb4"
"Adam17_Itga5","Adam17","Itga5","Adam17","Itga5","Adam17_Itga5"
"Adam17_Itgb1","Adam17","Itgb1","Adam17","Itgb1","Adam17_Itgb1"
"Adam17_Notch1","Adam17","Notch1","Adam17","Notch1","Adam17_Notch1"
"Adam23_Itga5","Adam23","Itga5","Adam23","Itga5","Adam23_Itga5"
"Adam23_Itgb3","Adam23","Itgb3","Adam23","Itgb3","Adam23_Itgb3"
"Adam28_Itga4","Adam28","Itga4","Adam28","Itga4","Adam28_Itga4"
"Adam2_Cd9","Adam2","Cd9","Adam2","Cd9","Adam2_Cd9"
"Adam2_Itga6","Adam2","Itga6","Adam2","Itga6","Adam2_Itga6"
"Adam2_Itga9","Adam2","Itga9","Adam2","Itga9","Adam2_Itga9"
"Adam2_Itgb1","Adam2","Itgb1","Adam2","Itgb1","Adam2_Itgb1"
"Adam2_Itgb7","Adam2","Itgb7","Adam2","Itgb7","Adam2_Itgb7"
"Adam9_Itga3","Adam9","Itga3","Adam9","Itga3","Adam9_Itga3"
"Adam9_Itga6","Adam9","Itga6","Adam9","Itga6","Adam9_Itga6"
"Adam9_Itgav","Adam9","Itgav","Adam9","Itgav","Adam9_Itgav"
"Adam9_Itgb1","Adam9","Itgb1","Adam9","Itgb1","Adam9_Itgb1"
"Adam9_Itgb5","Adam9","Itgb5","Adam9","Itgb5","Adam9_Itgb5"
"Adcyap1_Adcyap1r1","Adcyap1","Adcyap1r1","Adcyap1","Adcyap1r1","Adcyap1_Adcyap1r1"
